Provincia,Grupo ME,Abonados pre fusion,Share pre fusion
RIO NEGRO,Movistar,"58,414",45.61%
CHUBUT,Movistar,"65,393",43.58%
TIERRA DEL FUEGO,Movistar,"19,220",37.22%
NEUQUEN,Movistar,"53,558",36.19%
MENDOZA,Movistar,"100,153",33.75%
MISIONES,Movistar,"42,385",28.18%
BUENOS AIRES,Movistar,"927,447",17.98%
SALTA,Movistar,"16,321",16.53%
CIUDAD AUTONOMA DE BUENOS AIRES,Movistar,"151,269",11.38%
SAN JUAN,Movistar,"6,721",11.06%
LA PAMPA,Movistar,"5,469",7.10%
ENTRE RIOS,Movistar,"2,140",0.79%
FORMOSA,Movistar,389,0.50%
CORDOBA,Movistar,330,0.04%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
